event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN1987A,46849.44,6.36,,,V,,,"1987IAUC.4495....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46849.62,6.11,,,V,,,"1987IAUC.4495....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46850.45,4.89,,,B,,,"1987IAUC.4313....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46850.45,4.06,,,U,,,"1987IAUC.4313....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46850.45,4.81,,,V,,,"1987IAUC.4313....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46850.8,4.74,,,B,,,"1987IAUC.4320....1F,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46850.8,4.29,,,I,,,"1987IAUC.4320....1F,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46850.8,4.37,,,R,,,"1987IAUC.4320....1F,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46850.8,3.95,,,U,,,"1987IAUC.4320....1F,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46850.8,4.63,,,V,,,"1987IAUC.4320....1F,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46850.82,4.74,,,B,,,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46850.82,4.34,,,I,,,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46850.82,4.4,,,R,,,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46850.82,3.99,,,U,,,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46850.82,4.62,,,V,,,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.11,4.68,,,B,,,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.11,4.63,,,V,,,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.22,4.59,,,B,,,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.22,4.84,,,B,,,"1987IAUC.4317....1H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.22,4.21,,,U,,,"1987IAUC.4317....1H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.22,4.57,,,V,,,"1987IAUC.4336....1M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.22,4.63,,,V,,,"1987IAUC.4317....1H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.87,4.75,,,B,,,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.87,4.12,,,I,,,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.87,4.21,,,R,,,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.87,4.21,,,U,,,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.87,4.52,,,V,,,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.9,4.75,,,B,,,"1987IAUC.4320....1F,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.9,4.12,,,I,,,"1987IAUC.4320....1F,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46851.9,4.22,,,R,,,"1987IAUC.4320....1F,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
