Xpos,Ypos,Mag,Mag_err,flux,flux_err,type,peakflux,sigx,sigxy,sigy,sky,chisqr,class,FWHM1,FWHM2,FWHM,angle,extendedness,flag,mask,Nmask,RA,Dec,pixchk_Npos,pixchk_Nneg,pixchk_Nmask,pixchk_Ntot,pixchk_Fpos,pixchk_Fneg,time,zpt_av,zpt_00,band,mag0,MJD,MAG,MAGERR,FLT
2250.942,2251.149,-12.253,0.013999999999999999,79650.25,1037.99,0x00000001,8046.66,1.151657,-0.048794,1.173499,-235.13,9.4,0.0,2.84,2.65,2.74,53.0,15.2,0x0000,0x0000,0,0.0,0.0,38,5,0,53,70698.0,-754.0,58906.27664,28.983462,28.983462,i,16.730494141827556,58906.27664,16.730494141827556,0.013999999999999999,i
2250.948,2251.188,-12.276,0.013000000000000001,81375.95,1000.35,0x00000001,5027.7,1.379551,0.045398,1.597048,76.67,2.09,0.0,3.83,3.21,3.52,-72.9,-6.4,0x0000,0x0000,0,0.0,0.0,80,1,0,91,82205.0,-238.0,58910.24767,29.4243,29.4243,g,17.14805982087199,58910.24767,17.14805982087199,0.013000000000000001,g
2250.951,2251.073,-12.002,0.013999999999999999,63214.8,827.34,0x00000001,4098.08,1.544218,0.006723999999999999,1.366484,-258.18,1.56,0.0,3.64,3.22,3.43,-3.3,-1.5,0x0000,0x0000,0,0.0,0.0,40,11,0,86,47015.0,-1761.0,58895.28589,28.25,28.25,i,16.247953079378856,58895.28589,16.247953079378856,0.013999999999999999,i
2250.96,2251.1220000000003,-11.885,0.011000000000000001,56765.89,550.71,0x00000001,3942.0,1.349026,0.029008,1.457914,81.46,2.02,0.0,3.47,3.15,3.31,-71.9,2.8,0x0000,0x0000,0,0.0,0.0,67,0,0,75,57873.0,0.0,58910.25847,28.7403,28.7403,V,16.855081371752686,58910.25847,16.855081371752686,0.011000000000000001,V
2250.901,2251.072,-13.237,0.002,197096.77,439.34,0x00000001,17898.71,1.233309,0.000146,1.221459,164.07,119.78,0.0,2.9,2.88,2.89,-0.7,35.3,0x0000,0x0000,0,0.0,0.0,60,0,0,60,196127.0,0.0,58872.3515,27.624834,27.624834,r,14.388135232080067,58872.3515,14.388135232080067,0.002,r
2250.937,2251.113,-12.277000000000001,0.005,81413.08,393.82,0x00000001,7393.37,1.233309,0.000146,1.221459,24.89,23.96,0.0,2.9,2.88,2.89,-0.7,35.5,0x0000,0x0000,0,0.0,0.0,54,0,0,60,80016.0,0.0,58883.37303,28.00513,28.00513,r,15.728394537056099,58883.37303,15.728394537056099,0.005,r
2250.964,2251.155,-11.954,0.01,60496.18,567.38,0x00000001,2178.11,1.927084,0.025818,1.9623009999999999,-63.49,1.78,0.0,4.83,4.37,4.6,-50.2,-12.8,0x0000,0x0000,0,0.0,0.0,81,2,0,146,48473.0,-238.0,58896.28918,28.2576,28.2576,r,16.303280119455536,58896.28918,16.303280119455536,0.01,r
2250.978,2251.1220000000003,-13.062999999999999,0.006,167903.62,932.51,0x00000001,15248.12,1.233309,0.000146,1.221459,-26.08,9.03,0.0,2.9,2.88,2.89,-0.7,-15.2,0x0000,0x0000,0,0.0,0.0,55,0,0,60,156541.0,0.0,58905.28259,29.619146,29.619146,r,16.556495850943197,58905.28259,16.556495850943197,0.006,r
2250.903,2251.425,-9.815,0.040999999999999995,8433.18,322.03,0x00000001,447.28,1.558437,-0.035162,1.648309,9.49,1.37,0.0,3.99,3.59,3.79,60.9,-3.7,0x0001,0x8050,1,0.0,0.0,55,0,0,102,7976.0,0.0,58882.32175,28.441412,28.441412,u,18.626433574697344,58882.32175,18.626433574697344,0.040999999999999995,u
2250.748,2251.4339999999997,-9.203,0.066,4800.0,293.02,0x00000001,254.65,1.558437,-0.035162,1.648309,12.22,1.47,0.0,3.99,3.59,3.79,60.9,2.3,0x0000,0x0000,0,0.0,0.0,47,1,0,101,4902.0,-50.0,58904.32738,28.443257,28.443257,u,19.240153906561034,58904.32738,19.240153906561034,0.066,u
2251.025,2251.311,-9.175,0.08900000000000001,4678.4,385.47,0x00000001,210.03,1.672453,0.013572,1.822341,13.85,1.33,0.0,4.31,3.92,4.12,-77.2,-7.1,0x0000,0x0000,0,0.0,0.0,45,0,0,121,4714.0,0.0,58911.20413,28.3644,28.3644,u,19.189156622645633,58911.20413,19.189156622645633,0.08900000000000001,u
2250.98,2251.062,-12.652000000000001,0.006,115051.32,647.65,0x00000001,5870.14,1.589877,0.002537,1.686343,0.14,1.35,0.0,3.97,3.74,3.86,-86.7,-3.4,0x0000,0x0000,0,0.0,0.0,92,0,0,103,108066.0,0.0,58885.35286,28.4109,28.4109,r,15.758670985612477,58885.35286,15.758670985612477,0.006,r
2250.966,2251.117,-12.323,0.006999999999999999,84938.49,573.08,0x00000001,6243.68,1.332703,-0.012347,1.396124,-32.69,2.31,0.0,3.3,3.13,3.21,76.9,-15.8,0x0000,0x0000,0,0.0,0.0,57,0,0,69,76649.0,0.0,58884.36852,27.9692,27.9692,r,15.646438659943783,58884.36852,15.646438659943783,0.006999999999999999,r
2250.916,2251.161,-12.485,0.011000000000000001,98660.98,964.34,0x00000001,4706.93,1.6958119999999999,-4.4e-05,1.691077,-170.13,2.13,0.0,3.99,3.98,3.99,1.3,-4.8,0x0000,0x0000,0,0.0,0.0,67,7,0,112,80449.0,-908.0,58885.35471,28.258,28.258,i,15.772636437508064,58885.35471,15.772636437508064,0.011000000000000001,i
2250.837,2251.833,-10.769,0.006999999999999999,20308.24,137.51,0x00000001,844.62,1.8241580000000002,-0.050036000000000004,1.7792130000000002,-0.17,1.26,0.0,4.64,3.93,4.29,40.6,24.8,0x0000,0x0000,0,0.0,0.0,87,0,0,129,18692.0,0.0,58870.31992,26.1842,26.1842,B,15.415019282010938,58870.31992,15.415019282010938,0.006999999999999999,B
2250.968,2251.138,-13.274000000000001,0.004,203926.56,682.11,0x00000001,8787.66,1.688577,0.018546,1.8768340000000001,25.12,6.06,0.0,4.46,3.95,4.2,-75.5,-2.6,0x0000,0x0000,0,0.0,0.0,122,0,0,126,195019.0,0.0,58869.34905,27.9274,27.9274,g,14.65371551684156,58869.34905,14.65371551684156,0.004,g
2250.849,2251.814,-11.324000000000002,0.016,33863.39,492.71,0x00000001,1499.46,1.684757,0.021556,1.829636,40.89,1.15,0.0,4.36,3.92,4.14,-70.6,-10.1,0x0000,0x0000,0,0.0,0.0,100,0,0,123,35558.0,0.0,58903.28685,28.7513,28.7513,B,17.426973919126578,58903.28685,17.426973919126578,0.016,B
2250.952,2251.116,-12.099,0.006,69123.36,368.05,0x00000001,6277.88,1.233309,0.000146,1.221459,-9.44,21.33,0.0,2.9,2.88,2.89,-0.7,32.3,0x0000,0x0000,0,0.0,0.0,50,1,0,60,66798.0,-50.0,58894.3075,28.412825,28.412825,r,16.3137628987624,58894.3075,16.3137628987624,0.006,r
2250.96,2251.136,-13.029000000000002,0.003,162802.78,382.46,0x00000001,14227.28,1.2063700000000002,-0.040530000000000004,1.295033,151.17,56.08,0.0,3.09,2.81,2.95,69.1,34.6,0x0000,0x0000,0,0.0,0.0,64,0,0,64,161095.0,0.0,58869.35182,27.228326,27.228326,V,14.199171458562507,58869.35182,14.199171458562507,0.003,V
2250.968,2251.149,-12.692,0.006,119362.61,610.41,0x00000001,10431.38,1.2063700000000002,-0.040530000000000004,1.295033,144.73,5.97,0.0,3.09,2.81,2.95,69.1,22.1,0x0000,0x0000,0,0.0,0.0,56,0,0,64,118488.0,0.0,58905.30181,29.498248,29.498248,V,16.806077233554923,58905.30181,16.806077233554923,0.006,V
2250.953,2251.181,-12.823,0.015,134629.88,1916.22,0x00000001,13604.58,1.151657,-0.048794,1.173499,-472.07,6.8,0.0,2.84,2.65,2.74,53.0,8.5,0x0001,0x8074,10,0.0,0.0,36,4,0,52,114266.0,-1263.0,58905.28652,29.473194,29.473194,i,16.65034035327092,58905.28652,16.65034035327092,0.015,i
2250.949,2251.144,-12.065999999999999,0.01,67060.03,622.45,0x00000001,6775.39,1.151657,-0.048794,1.173499,-213.28,6.22,0.0,2.84,2.65,2.74,53.0,19.2,0x0000,0x0000,0,0.0,0.0,37,4,0,53,58127.0,-423.0,58893.28932,28.274146,28.274146,i,16.20798664155253,58893.28932,16.20798664155253,0.01,i
2250.979,2251.125,-12.23,0.004,77966.83,301.04,0x00000001,3942.78,1.68806,-0.007439,1.602174,-14.79,2.47,0.0,3.98,3.77,3.87,10.5,-23.3,0x0000,0x0000,0,0.0,0.0,95,0,0,105,71320.0,0.0,58870.31492,26.2444,26.2444,r,14.014625307756464,58870.31492,14.014625307756464,0.004,r
2250.9610000000002,2251.215,-11.300999999999998,0.013999999999999999,33137.54,413.16,0x00000001,1223.45,1.941643,0.004922,1.908152,28.6,0.96,0.0,4.59,4.48,4.53,-23.2,-1.4,0x0000,0x0000,0,0.0,0.0,104,0,0,143,33078.0,0.0,58896.30244,27.7833,27.7833,V,16.482499337564796,58896.30244,16.482499337564796,0.013999999999999999,V
2251.04,2251.094,-10.402000000000001,0.006999999999999999,14484.2,86.92,0x00000001,1315.29,1.233309,0.000146,1.221459,5.87,10.53,0.0,2.9,2.88,2.89,-0.7,36.2,0x0000,0x0000,0,0.0,0.0,54,0,0,60,14237.0,0.0,58882.31523,26.059855,26.059855,r,15.657618717526148,58882.31523,15.657618717526148,0.006999999999999999,r
