AB flux density,AB flux density error,AB mag,AB mag err,AB mag limit,Exposure,Magnitude,Magnitude error,Magnitude limit,ObsID,Sigma,Time (MET),Wavelength,mag flux density,mag flux density err
1.18E-14,3.13E-16,15.43231297,0.02877521887,20.03870583,218.578949,13.92231274,0.02877521887,18.5287075,sw00011339005,60.31597519,600460386.7,w1,1.07E-14,2.85E-16
1.23E-14,3.00E-16,15.38922787,0.02650347352,20.24898338,314.6477356,13.87922764,0.02650347352,18.73898315,sw00011339007,73.88276672,600477498.6,w1,1.12E-14,2.73E-16
1.10E-14,4.21E-16,15.50479031,0.0413912572,19.27281189,67.32860565,13.99479008,0.0413912572,17.76281166,sw00013174001,31.24137688,601965413.4,w1,1.01E-14,3.83E-16
1.13E-14,5.12E-16,13.78828144,0.04910393804,16.89072609,22.61891747,13.79828167,0.04910393804,16.90072632,sw00013174001,26.60544586,601965167.7,vv,1.13E-14,5.12E-16
8.28E-15,3.51E-16,15.11754513,0.04607940838,18.35208893,22.61554909,14.09754467,0.04607940838,17.33208847,sw00013174001,29.30985069,601965465,uu,8.10E-15,3.44E-16
1.28E-14,4.41E-16,15.8311739,0.03753330559,19.97857094,112.0518723,14.10117435,0.03753330559,18.24856949,sw00013174001,35.85566711,601965092.5,w2,1.22E-14,4.23E-16
1.11E-14,3.73E-16,15.74688053,0.03642655909,20.04404449,179.602005,14.05688095,0.03642655909,18.35404587,sw00013174001,38.7137413,601965278.2,m2,1.11E-14,3.71E-16
1.09E-14,3.36E-16,15.5213995,0.03355055675,19.69475555,127.2995224,14.01139927,0.03355055675,18.18475533,sw00013174002,42.58643341,602871953.3,w1,9.90E-15,3.06E-16
1.30E-14,4.46E-16,13.63440037,0.03715342656,17.31051826,42.60305405,13.64439964,0.03715342656,17.32051849,sw00013174002,40.06775665,602871498.3,vv,1.30E-14,4.46E-16
1.07E-14,6.61E-16,14.33690166,0.06737486273,16.83809662,6.727160931,14.46690178,0.06737486273,16.96809578,sw00013174002,18.65155792,602872077.4,bb,1.06E-14,6.57E-16
6.59E-15,4.01E-16,15.36457825,0.06596874446,18.20537567,12.55290318,14.34457779,0.06596874446,17.18537521,sw00013174002,21.11837959,602871224,uu,6.45E-15,3.92E-16
1.27E-14,3.64E-16,15.83345604,0.03104903549,20.3778801,211.9925842,14.1034565,0.03104903549,18.64787865,sw00013174002,49.06624603,602871360.3,w2,1.22E-14,3.49E-16
1.14E-14,3.21E-16,15.72158337,0.03064604104,20.43619347,339.5007324,14.03158283,0.03064604104,18.74619293,sw00013174002,53.72703934,602871703,m2,1.13E-14,3.20E-16
1.04E-14,3.34E-16,15.57280064,0.03499544039,19.64598846,117.7896194,14.06280041,0.03499544039,18.13598824,sw00013174003,39.78495789,603812691.8,w1,9.44E-15,3.04E-16
1.18E-14,4.32E-16,13.74429417,0.03980095312,17.23801613,38.80296707,13.7542944,0.03980095312,17.24801636,sw00013174003,35.68571472,603812270.7,vv,1.18E-14,4.32E-16
9.53E-15,4.08E-16,14.45843506,0.04651781544,17.52832794,17.00328445,14.58843517,0.04651781544,17.6583271,sw00013174003,28.29373169,603812812,bb,9.47E-15,4.06E-16
5.96E-15,3.93E-16,15.47380543,0.0716162473,18.15196419,11.57560349,14.45380497,0.0716162473,17.13196373,sw00013174003,18.85914612,603812015.7,uu,5.84E-15,3.85E-16
1.11E-14,3.38E-16,15.98595142,0.03313338384,20.32678032,195.8340912,14.25595188,0.03313338384,18.59678078,sw00013174003,43.57850266,603812143.1,w2,1.06E-14,3.24E-16
9.78E-15,2.92E-16,15.885849,0.03241942823,20.39220619,313.8292847,14.19584942,0.03241942823,18.70220757,sw00013174003,47.65855408,603812460,m2,9.73E-15,2.91E-16
1.11E-14,3.26E-16,15.503685,0.03199014068,19.82800102,148.2434082,13.99368572,0.03199014068,18.31800079,sw00013174004,46.22409058,604562825.4,w1,1.01E-14,2.96E-16
1.07E-14,3.76E-16,13.84389877,0.03798510879,17.41653633,49.26599503,13.853899,0.03798510879,17.42653656,sw00013174004,38.15267563,604562297.5,vv,1.08E-14,3.76E-16
9.71E-15,3.10E-16,14.43774319,0.03469044715,18.072752,35.01037979,14.5677433,0.03469044715,18.20275307,sw00013174004,42.09653091,604562982.5,bb,9.65E-15,3.08E-16
6.70E-15,3.72E-16,15.34725094,0.06028134748,18.32023621,15.50651169,14.32725048,0.06028134748,17.30023575,sw00013174004,23.43859291,604561980.5,uu,6.56E-15,3.64E-16
1.23E-14,3.43E-16,15.86724854,0.03016749024,20.47996902,247.2241821,14.13724804,0.03016749024,18.74996948,sw00013174004,51.87041855,604562137,w2,1.18E-14,3.29E-16
1.09E-14,3.01E-16,15.76672077,0.02992710285,20.56559181,394.7275391,14.07672024,0.02992710285,18.87559128,sw00013174004,56.76553345,604562534.8,m2,1.09E-14,2.99E-16
8.35E-15,2.90E-16,15.80847073,0.0377603136,19.64500237,80.57309723,14.2984705,0.0377603136,18.13500214,sw00035227001,38.13861847,152991434.5,w1,7.60E-15,2.64E-16
7.88E-15,2.36E-16,14.18015766,0.03249520808,17.80249405,127.7224579,14.19015694,0.03249520808,17.81249428,sw00035227001,55.56885147,152990928,vv,7.89E-15,2.36E-16
9.64E-15,6.10E-16,16.13463211,0.06867259741,19.24565506,20.4300518,14.40463257,0.06867259741,17.51565552,sw00035227001,18.08822441,152985667.9,w2,9.26E-15,5.86E-16
9.39E-15,2.49E-16,15.93097591,0.02879416756,20.84084129,383.6270447,14.24097538,0.02879416756,19.15084267,sw00035227001,65.39519501,152991192.4,m2,9.34E-15,2.48E-16
8.59E-15,2.29E-16,15.7773571,0.02896262147,20.22530365,192.6696014,14.26735783,0.02896262147,18.71530342,sw00035227002,60.21103668,153101780,w1,7.82E-15,2.09E-16
7.62E-15,2.48E-16,14.21734715,0.03535341471,17.65424156,96.23162842,14.22734737,0.03535341471,17.66424179,sw00035227002,47.11053848,153101328.3,vv,7.62E-15,2.48E-16
5.65E-15,1.81E-16,15.02635193,0.03478466347,18.30459785,74.11205292,15.15635204,0.03478466347,18.43459892,sw00035227002,46.28090286,153102024.3,bb,5.61E-15,1.80E-16
6.03E-15,1.80E-16,15.46212482,0.03248826042,19.33401299,96.24247742,14.44212532,0.03248826042,18.31401253,sw00035227002,58.09381866,153101931.8,uu,5.90E-15,1.77E-16
9.17E-15,2.22E-16,16.18885422,0.02632663585,21.1334362,386.5702515,14.45885468,0.02632663585,19.40343666,sw00035227002,76.18132782,153101077.6,w2,8.81E-15,2.14E-16
