MJD,FLT,FLUXCAL,FLUXCALERR,MAG,MAGERR,TELESCOPE,INSTRUMENT,SHIFTMAG
58855.542,r-ZTF,12247.531,633.925,17.28,0.055999999999999994,P48,ZTF-Cam,115.28
58859.481,r-ZTF,123738.293,3752.987,14.769,0.033,P48,ZTF-Cam,112.769
58859.522000000004,g-ZTF,108021.216,2798.8959999999997,14.915999999999999,0.027999999999999997,P48,ZTF-Cam,70.916
58867.44,g-ZTF,190501.18899999998,5330.986999999999,14.3,0.03,P48,ZTF-Cam,70.3
58867.482,r-ZTF,285858.558,5358.853,13.86,0.02,P48,ZTF-Cam,111.86
58871.443,g-ZTF,97245.615,2162.206,15.03,0.024,P48,ZTF-Cam,71.03
58871.502,r-ZTF,214781.33399999997,6827.267,14.17,0.035,P48,ZTF-Cam,112.17
58875.457,g-ZTF,53651.825,1226.978,15.675999999999998,0.025,P48,ZTF-Cam,71.676
58875.52099999999,r-ZTF,134689.661,3087.184,14.677,0.025,P48,ZTF-Cam,112.67699999999999
58878.361,r-ZTF,94923.448,2046.165,15.057,0.023,P48,ZTF-Cam,113.057
58878.487,g-ZTF,38393.617,864.064,16.039,0.024,P48,ZTF-Cam,72.039
58881.460999999996,g-ZTF,29484.762000000002,692.816,16.326,0.026000000000000002,P48,ZTF-Cam,72.326
58881.539000000004,r-ZTF,69748.497,2128.91,15.390999999999998,0.033,P48,ZTF-Cam,113.39099999999999
58884.442,g-ZTF,25333.395,767.956,16.491,0.033,P48,ZTF-Cam,72.491
58884.515999999996,r-ZTF,55984.261,1379.149,15.63,0.027000000000000003,P48,ZTF-Cam,113.63
58887.426,g-ZTF,22736.749,905.051,16.608,0.043,P48,ZTF-Cam,72.608
58887.515999999996,r-ZTF,46282.002,1237.739,15.835999999999999,0.028999999999999998,P48,ZTF-Cam,113.836
58892.317,r-ZTF,36675.888999999996,1068.937,16.089000000000002,0.032,P48,ZTF-Cam,114.089
58892.380999999994,g-ZTF,19663.185,642.631,16.766,0.035,P48,ZTF-Cam,72.76599999999999
