MJD	FLT	FLUXCAL	FLUXCALERR	MAG	MAGERR	TELESCOPE	INSTRUMENT
58855.542	r-ZTF	12247.531	633.925	17.280	0.056	P48	ZTF-Cam
58859.481	r-ZTF	123738.293	3752.987	14.769	0.033	P48	ZTF-Cam
58859.522	g-ZTF	108021.216	2798.896	14.916	0.028	P48	ZTF-Cam
58867.440	g-ZTF	190501.189	5330.987	14.300	0.030	P48	ZTF-Cam
58867.482	r-ZTF	285858.558	5358.853	13.860	0.020	P48	ZTF-Cam
58871.443	g-ZTF	97245.615	2162.206	15.030	0.024	P48	ZTF-Cam
58871.502	r-ZTF	214781.334	6827.267	14.170	0.035	P48	ZTF-Cam
58875.457	g-ZTF	53651.825	1226.978	15.676	0.025	P48	ZTF-Cam
58875.521	r-ZTF	134689.661	3087.184	14.677	0.025	P48	ZTF-Cam
58878.361	r-ZTF	94923.448	2046.165	15.057	0.023	P48	ZTF-Cam
58878.487	g-ZTF	38393.617	864.064	16.039	0.024	P48	ZTF-Cam
58881.461	g-ZTF	29484.762	692.816	16.326	0.026	P48	ZTF-Cam
58881.539	r-ZTF	69748.497	2128.910	15.391	0.033	P48	ZTF-Cam
58884.442	g-ZTF	25333.395	767.956	16.491	0.033	P48	ZTF-Cam
58884.516	r-ZTF	55984.261	1379.149	15.630	0.027	P48	ZTF-Cam
58887.426	g-ZTF	22736.749	905.051	16.608	0.043	P48	ZTF-Cam
58887.516	r-ZTF	46282.002	1237.739	15.836	0.029	P48	ZTF-Cam
58892.317	r-ZTF	36675.889	1068.937	16.089	0.032	P48	ZTF-Cam
58892.381	g-ZTF	19663.185	642.631	16.766	0.035	P48	ZTF-Cam
58895.384	g-ZTF	18775.109	482.327	16.816	0.028	P48	ZTF-Cam
58895.442	r-ZTF	33658.580	1064.635	16.182	0.034	P48	ZTF-Cam
58898.374	r-ZTF	30159.563	972.185	16.301	0.035	P48	ZTF-Cam
58898.419	g-ZTF	17488.788	576.256	16.893	0.036	P48	ZTF-Cam
58899.400	g-ZTF	17122.826	585.324	16.916	0.037	P48	ZTF-Cam
58899.441	r-ZTF	28042.089	830.201	16.380	0.032	P48	ZTF-Cam
58900.438	r-ZTF	27728.819	1240.920	16.393	0.049	P48	ZTF-Cam
58901.419	r-ZTF	26852.176	1391.212	16.428	0.056	P48	ZTF-Cam
58903.357	g-ZTF	16988.416	569.374	16.925	0.036	P48	ZTF-Cam
58904.459	g-ZTF	16256.718	734.397	16.972	0.049	P48	ZTF-Cam
58904.471	r-ZTF	25177.401	647.408	16.497	0.028	P48	ZTF-Cam
58905.307	g-ZTF	16410.977	655.633	16.962	0.043	P48	ZTF-Cam
58908.341	g-ZTF	15340.781	695.274	17.035	0.049	P48	ZTF-Cam
58908.450	r-ZTF	22127.511	845.787	16.638	0.042	P48	ZTF-Cam
58911.399	g-ZTF	13612.953	547.079	17.165	0.044	P48	ZTF-Cam
58911.446	r-ZTF	20495.246	740.659	16.721	0.039	P48	ZTF-Cam
58912.447	r-ZTF	18898.173	801.560	16.809	0.046	P48	ZTF-Cam
58913.331	g-ZTF	14426.868	562.056	17.102	0.042	P48	ZTF-Cam
58913.445	r-ZTF	18645.572	790.757	16.824	0.046	P48	ZTF-Cam
58914.425	g-ZTF	12656.155	538.946	17.244	0.046	P48	ZTF-Cam
58915.404	r-ZTF	17462.754	747.827	16.895	0.046	P48	ZTF-Cam
58915.444	g-ZTF	13438.950	516.641	17.179	0.042	P48	ZTF-Cam
58936.413	r-ZTF	9173.468	488.180	17.594	0.058	P48	ZTF-Cam
58939.338	g-ZTF	7090.772	450.511	17.873	0.069	P48	ZTF-Cam
58940.394	g-ZTF	7877.372	491.016	17.759	0.068	P48	ZTF-Cam
58962.233	g-ZTF	4212.841	297.670	18.439	0.077	P48	ZTF-Cam
58965.287	r-ZTF	3933.646	269.550	18.513	0.074	P48	ZTF-Cam
58967.227	g-ZTF	3605.685	341.883	18.608	0.103	P48	ZTF-Cam
58855.542	r-ZTF	12247.290	633.913	17.280	0.056	P48	ZTF-Cam
58856.304	up	44408.159	44408.159	15.881	1.086	Siding Spring 1m	Sinistro
58856.307	gp	15736.747	15736.747	17.008	1.086	Siding Spring 1m	Sinistro
58856.308	rp	18315.858	18315.858	16.843	1.086	Siding Spring 1m	Sinistro
58856.309	ip	17071.793	17071.793	16.919	1.086	Siding Spring 1m	Sinistro
58856.349	gp	9420.245	9420.245	17.565	1.086	Siding Spring 1m	Sinistro
58856.367	up	84096.035	84096.035	15.188	1.086	Siding Spring 1m	Sinistro
58856.368	gp	22595.903	22595.903	16.615	1.086	Siding Spring 1m	Sinistro
58856.369	rp	35870.527	35870.527	16.113	1.086	Siding Spring 1m	Sinistro
58856.370	ip	32877.359	32877.359	16.208	1.086	Siding Spring 1m	Sinistro
58856.409	up	63224.796	63224.796	15.498	1.086	Siding Spring 1m	Sinistro
58856.410	gp	24768.641	24768.641	16.515	1.086	Siding Spring 1m	Sinistro
58856.411	rp	19535.271	19535.271	16.773	1.086	Siding Spring 1m	Sinistro
58856.412	ip	17723.877	17723.877	16.879	1.086	Siding Spring 1m	Sinistro
58856.698	rp	33092.315	33092.315	16.201	1.086	Siding Spring 1m	Sinistro
58856.699	ip	107415.733	107415.733	14.922	1.086	Siding Spring 1m	Sinistro
58857.301	up	38271.287	3164.723	16.043	0.090	Siding Spring 1m	Sinistro
58857.302	gp	64375.871	1573.994	15.478	0.027	Siding Spring 1m	Sinistro
58857.303	rp	13530.349	13530.349	17.172	1.086	Siding Spring 1m	Sinistro
58857.304	ip	13538.572	13538.572	17.171	1.086	Siding Spring 1m	Sinistro
58857.316	up	59855.497	59855.497	15.557	1.086	Siding Spring 1m	Sinistro
58857.317	gp	12969.340	12969.340	17.218	1.086	Siding Spring 1m	Sinistro
58857.318	rp	11389.314	11389.314	17.359	1.086	Siding Spring 1m	Sinistro
58857.319	ip	12325.461	12325.461	17.273	1.086	Siding Spring 1m	Sinistro
58857.345	up	38753.432	38753.432	16.029	1.086	Siding Spring 1m	Sinistro
58857.347	gp	10585.774	10585.774	17.438	1.086	Siding Spring 1m	Sinistro
58857.348	rp	9466.393	9466.393	17.560	1.086	Siding Spring 1m	Sinistro
58857.349	ip	11866.383	11866.383	17.314	1.086	Siding Spring 1m	Sinistro
58858.298	up	45726.696	2508.566	15.850	0.060	Siding Spring 1m	Sinistro
58858.300	gp	11539.016	11539.016	17.345	1.086	Siding Spring 1m	Sinistro
58858.301	rp	83193.119	2246.689	15.200	0.029	Siding Spring 1m	Sinistro
58858.309	ip	13015.898	13015.898	17.214	1.086	Siding Spring 1m	Sinistro
58858.338	gp	93530.159	1156.239	15.073	0.013	Siding Spring 1m	Sinistro
58858.340	rp	19424.279	19424.279	16.779	1.086	Siding Spring 1m	Sinistro
58858.341	ip	23390.539	23390.539	16.577	1.086	Siding Spring 1m	Sinistro
58859.049	up	36185.796	36185.796	16.104	1.086	Siding Spring 1m	Sinistro
58859.051	gp	113381.599	1382.453	14.863	0.013	Siding Spring 1m	Sinistro
58859.052	rp	8322.285	8322.285	17.699	1.086	Siding Spring 1m	Sinistro
58859.053	ip	100541.518	874.808	14.994	0.009	Siding Spring 1m	Sinistro
58859.297	gp	116789.357	1443.820	14.831	0.013	Siding Spring 1m	Sinistro
58859.298	rp	127773.691	1290.442	14.734	0.011	Siding Spring 1m	Sinistro
58859.300	ip	20393.147	20393.147	16.726	1.086	Siding Spring 1m	Sinistro
58859.689	gp	116007.566	2847.756	14.839	0.027	Siding Spring 1m	Sinistro
58859.690	rp	31152.866	31152.866	16.266	1.086	Siding Spring 1m	Sinistro
58859.691	ip	27179.587	27179.587	16.414	1.086	Siding Spring 1m	Sinistro
58860.047	up	48099.260	48099.260	15.795	1.086	Siding Spring 1m	Sinistro
58860.048	gp	15470.050	15470.050	17.026	1.086	Siding Spring 1m	Sinistro
58860.049	rp	18361.960	18361.960	16.840	1.086	Siding Spring 1m	Sinistro
58860.051	ip	18323.541	18323.541	16.842	1.086	Siding Spring 1m	Sinistro
58860.420	up	2900574944672380.000	2900574944672380.000	-11.156	1.086	Siding Spring 1m	Sinistro
58860.422	rp	16603829294647500.000	16603829294647500.000	-13.051	1.086	Siding Spring 1m	Sinistro
58861.049	up	71699.404	71699.404	15.361	1.086	Siding Spring 1m	Sinistro
58861.050	gp	209865.035	2793.270	14.195	0.014	Siding Spring 1m	Sinistro
58861.052	rp	195932.233	2176.277	14.270	0.012	Siding Spring 1m	Sinistro
58861.053	ip	180220.689	2880.388	14.361	0.017	Siding Spring 1m	Sinistro
58861.292	gp	18979.946	18979.946	16.804	1.086	Siding Spring 1m	Sinistro
58861.293	rp	194612.319	1833.701	14.277	0.010	Siding Spring 1m	Sinistro
