ph	T_bb	err	R_bb	err	L_bb	err

58858.27	8.41e+03	2.62e+02	6.74e+14	3.66e+13	1.62e+42	2.67e+41
58859.50	8.11e+03	2.35e+02	8.52e+14	4.34e+13	2.24e+42	3.46e+41
58860.72	8.03e+03	2.48e+02	9.94e+14	5.43e+13	2.92e+42	4.82e+41
58861.95	7.97e+03	2.88e+02	1.11e+15	7.07e+13	3.51e+42	6.78e+41
58863.17	7.83e+03	3.71e+02	1.21e+15	1.03e+14	3.90e+42	9.94e+41
58864.40	7.54e+03	3.99e+02	1.32e+15	1.30e+14	4.00e+42	1.16e+42
58865.62	7.10e+03	3.71e+02	1.46e+15	1.49e+14	3.86e+42	1.13e+42
58866.85	6.60e+03	3.78e+02	1.63e+15	1.94e+14	3.60e+42	1.19e+42
58868.07	6.12e+03	4.66e+02	1.82e+15	3.08e+14	3.32e+42	1.51e+42
58869.29	5.53e+03	2.66e+02	2.33e+15	2.72e+14	3.62e+42	1.10e+42
58870.52	5.17e+03	3.13e+02	2.55e+15	4.06e+14	3.29e+42	1.32e+42
58871.74	4.87e+03	3.14e+02	2.72e+15	4.91e+14	2.97e+42	1.32e+42
58872.97	4.66e+03	2.84e+02	2.83e+15	5.12e+14	2.69e+42	1.17e+42
58874.19	4.55e+03	2.43e+02	2.83e+15	4.66e+14	2.45e+42	9.62e+41
58875.42	4.54e+03	2.02e+02	2.69e+15	3.69e+14	2.19e+42	7.15e+41
58876.64	4.61e+03	1.66e+02	2.43e+15	2.65e+14	1.89e+42	4.95e+41
58877.87	4.72e+03	1.57e+02	2.13e+15	2.10e+14	1.59e+42	3.80e+41
58879.09	4.85e+03	1.91e+02	1.85e+15	2.10e+14	1.34e+42	3.72e+41
58880.31	4.97e+03	2.37e+02	1.63e+15	2.17e+14	1.16e+42	3.79e+41
58881.54	5.10e+03	2.52e+02	1.45e+15	1.95e+14	1.02e+42	3.40e+41
58882.76	5.26e+03	2.26e+02	1.29e+15	1.46e+14	9.13e+41	2.59e+41
58883.99	5.47e+03	1.76e+02	1.14e+15	9.30e+13	8.23e+41	1.72e+41
58885.21	5.67e+03	1.44e+02	1.01e+15	6.27e+13	7.56e+41	1.21e+41
58886.44	5.78e+03	1.56e+02	9.45e+14	6.13e+13	7.09e+41	1.20e+41
58887.66	5.80e+03	1.77e+02	9.11e+14	6.67e+13	6.70e+41	1.28e+41
58888.89	5.77e+03	1.81e+02	8.97e+14	6.80e+13	6.37e+41	1.25e+41
58890.11	5.72e+03	1.65e+02	8.96e+14	6.37e+13	6.12e+41	1.12e+41
58891.34	5.65e+03	1.43e+02	9.05e+14	5.70e+13	5.94e+41	9.59e+40
58892.56	5.58e+03	1.27e+02	9.16e+14	5.23e+13	5.81e+41	8.48e+40
58893.78	5.54e+03	1.32e+02	9.20e+14	5.52e+13	5.70e+41	8.73e+40
58895.01	5.53e+03	1.55e+02	9.17e+14	6.51e+13	5.58e+41	1.01e+41
58896.23	5.51e+03	1.72e+02	9.07e+14	7.18e+13	5.41e+41	1.09e+41
58897.46	5.52e+03	1.88e+02	8.86e+14	7.68e+13	5.19e+41	1.14e+41
58898.68	5.54e+03	2.14e+02	8.60e+14	8.34e+13	4.95e+41	1.23e+41
58899.91	5.56e+03	2.39e+02	8.35e+14	8.90e+13	4.74e+41	1.30e+41
58901.13	5.59e+03	2.55e+02	8.12e+14	9.05e+13	4.58e+41	1.32e+41
58902.36	5.63e+03	2.60e+02	7.88e+14	8.79e+13	4.45e+41	1.29e+41
58903.58	5.70e+03	2.59e+02	7.61e+14	8.29e+13	4.36e+41	1.24e+41
58904.80	5.80e+03	2.63e+02	7.29e+14	7.86e+13	4.27e+41	1.20e+41
58906.03	5.93e+03	2.66e+02	6.89e+14	7.30e+13	4.17e+41	1.16e+41
58907.25	6.14e+03	2.69e+02	6.33e+14	6.45e+13	4.05e+41	1.09e+41
58908.48	6.42e+03	2.62e+02	5.71e+14	5.25e+13	3.95e+41	9.71e+40
58909.70	6.73e+03	2.24e+02	5.15e+14	3.73e+13	3.88e+41	7.62e+40
58910.93	6.97e+03	1.88e+02	4.72e+14	2.66e+13	3.75e+41	5.85e+40
58912.15	7.07e+03	3.33e+02	4.47e+14	4.29e+13	3.55e+41	9.56e+40
58913.38	7.05e+03	5.89e+02	4.32e+14	7.38e+13	3.29e+41	1.57e+41
58914.60	7.23e+03	7.78e+02	3.96e+14	8.70e+13	3.05e+41	1.88e+41
58915.83	7.57e+03	8.12e+02	3.56e+14	7.65e+13	2.95e+41	1.79e+41
58917.05	7.69e+03	8.66e+02	3.43e+14	7.75e+13	2.93e+41	1.87e+41
58918.27	7.56e+03	1.06e+03	3.48e+14	1.01e+14	2.83e+41	2.28e+41
