event,time,flux,e_flux,upperlimit,energy,instrument,telescope,source
SN1987A,51885.0,2.710E-13,,,"0.5,2.0",Chandra ACIS,,"2016ApJ...829...40F,SNaX"
SN1987A,51885.0,7.0E-14,,,"3.0,8.0",Chandra ACIS,,"2016ApJ...829...40F,SNaX"
SN1987A,51885.0,3.980E-13,,,"0.5,8.0",Chandra ACIS,,"2016ApJ...829...40F,SNaX"
SN1987A,52007.0,2.90E-13,,,"0.5,2.0",XMM-Newton EPIC-pn,,"2016ApJ...829...40F,SNaX"
SN1987A,52007.0,5.10E-14,,,"3.0,8.0",XMM-Newton EPIC-pn,,"2016ApJ...829...40F,SNaX"
SN1987A,52024.0,4.540E-13,,,"0.5,8.0",Chandra ACIS,,"2016ApJ...829...40F,SNaX"
SN1987A,52024.0,3.000E-13,,,"0.5,2.0",Chandra ACIS,,"2016ApJ...829...40F,SNaX"
SN1987A,52024.0,9.10E-14,,,"3.0,8.0",Chandra ACIS,,"2016ApJ...829...40F,SNaX"
SN1987A,52255.0,4.110E-13,,,"0.5,2.0",Chandra ACIS,,"2016ApJ...829...40F,SNaX"
SN1987A,52255.0,9.10E-14,,,"3.0,8.0",Chandra ACIS,,"2016ApJ...829...40F,SNaX"
SN1987A,52255.0,5.750E-13,,,"0.5,8.0",Chandra ACIS,,"2016ApJ...829...40F,SNaX"
SN1987A,52409.0,7.020E-13,,,"0.5,8.0",Chandra ACIS,,"2016ApJ...829...40F,SNaX"
SN1987A,52409.0,5.090E-13,,,"0.5,2.0",Chandra ACIS,,"2016ApJ...829...40F,SNaX"
SN1987A,52409.0,1.050E-13,,,"3.0,8.0",Chandra ACIS,,"2016ApJ...829...40F,SNaX"
SN1987A,52639.0,7.180E-13,,,"0.5,2.0",Chandra ACIS,,"2016ApJ...829...40F,SNaX"
SN1987A,52639.0,1.20E-13,,,"3.0,8.0",Chandra ACIS,,"2016ApJ...829...40F,SNaX"
SN1987A,52639.0,9.510E-13,,,"0.5,8.0",Chandra ACIS,,"2016ApJ...829...40F,SNaX"
