ph	Lobs	err	L+BB	err	

58858.27	9.58e+41	3.21e+41	1.69e+42	3.34e+41
58859.50	1.32e+42	3.83e+41	2.31e+42	4.00e+41
58860.72	1.71e+42	4.20e+41	3.00e+42	4.51e+41
58861.95	2.07e+42	4.23e+41	3.61e+42	4.80e+41
58863.17	2.34e+42	3.90e+41	4.03e+42	5.12e+41
58864.40	2.49e+42	3.26e+41	4.21e+42	5.05e+41
58865.62	2.51e+42	2.44e+41	4.16e+42	4.54e+41
58866.85	2.41e+42	1.60e+41	3.97e+42	4.56e+41
58868.07	2.23e+42	8.79e+40	3.71e+42	5.95e+41
58869.29	1.80e+42	2.78e+40	3.52e+42	4.86e+41
58870.52	1.55e+42	1.69e+40	3.20e+42	6.36e+41
58871.74	1.34e+42	1.57e+40	2.90e+42	6.82e+41
58872.97	1.15e+42	1.42e+40	2.62e+42	6.38e+41
58874.19	9.92e+41	1.18e+40	2.36e+42	5.36e+41
58875.42	8.52e+41	1.02e+40	2.07e+42	3.99e+41
58876.64	7.36e+41	9.65e+39	1.78e+42	2.72e+41
58877.87	6.42e+41	9.43e+39	1.50e+42	2.04e+41
58879.09	5.68e+41	8.95e+39	1.27e+42	1.94e+41
58880.31	5.12e+41	8.00e+39	1.10e+42	1.92e+41
58881.54	4.69e+41	6.70e+39	9.79e+41	1.67e+41
58882.76	4.35e+41	5.44e+39	8.80e+41	1.22e+41
58883.99	4.08e+41	4.90e+39	7.97e+41	7.72e+40
58885.21	3.85e+41	5.45e+39	7.33e+41	5.22e+40
58886.44	3.64e+41	6.49e+39	6.87e+41	5.06e+40
58887.66	3.45e+41	7.26e+39	6.49e+41	5.37e+40
58888.89	3.28e+41	7.39e+39	6.17e+41	5.30e+40
58890.11	3.13e+41	6.91e+39	5.93e+41	4.81e+40
58891.34	3.01e+41	5.96e+39	5.76e+41	4.18e+40
58892.56	2.92e+41	4.82e+39	5.63e+41	3.74e+40
58893.78	2.86e+41	3.80e+39	5.53e+41	3.87e+40
58895.01	2.80e+41	3.29e+39	5.42e+41	4.49e+40
58896.23	2.74e+41	3.48e+39	5.29e+41	4.86e+40
58897.46	2.68e+41	4.05e+39	5.11e+41	5.10e+40
58898.68	2.60e+41	4.55e+39	4.91e+41	5.45e+40
58899.91	2.51e+41	4.71e+39	4.72e+41	5.74e+40
58901.13	2.42e+41	4.49e+39	4.55e+41	5.78e+40
58902.36	2.34e+41	3.96e+39	4.40e+41	5.59e+40
58903.58	2.28e+41	3.31e+39	4.29e+41	5.28e+40
58904.80	2.25e+41	2.79e+39	4.19e+41	5.03e+40
58906.03	2.22e+41	2.57e+39	4.10e+41	4.71e+40
58907.25	2.21e+41	2.59e+39	4.01e+41	4.24e+40
58908.48	2.20e+41	2.60e+39	3.92e+41	3.59e+40
58909.70	2.16e+41	2.51e+39	3.83e+41	2.70e+40
58910.93	2.11e+41	2.56e+39	3.71e+41	2.02e+40
58912.15	2.03e+41	3.05e+39	3.54e+41	3.26e+40
58913.38	1.95e+41	3.86e+39	3.32e+41	5.36e+40
58914.60	1.86e+41	4.70e+39	3.13e+41	6.33e+40
58915.83	1.79e+41	5.42e+39	3.02e+41	5.99e+40
58917.05	1.75e+41	6.01e+39	2.97e+41	6.25e+40
58918.27	1.74e+41	6.42e+39	2.91e+41	7.59e+40
